standard_name,gene
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,AGRN
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,ANXA5
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,C1QA
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,C1QB
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,COL22A1
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,EFEMP2
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,F2
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,GPC4
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,HCFC1
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,HMCN1
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,HTRA1
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,LOXL2
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,LTBP2
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,MUC16
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,MXRA5
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,PLOD1
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,PXDN
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,SERPINB1
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,SERPINE2
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,SFTPD
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,ST14
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,THBS2
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,TIMP1
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,BMP1
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,C1QTNF5
